Sample,X position (mm),Y position (mm),Process state
79,0.335,0.056,Initial shim
80,0.000,0.000,Initial shim
81,0.000,0.000,Initial shim
82,0.530,0.445,Initial shim
83,0.544,0.380,Initial shim
84,0.818,0.284,Initial shim
85,0.603,0.532,Initial shim
86,0.721,0.519,Initial shim
87,0.509,0.365,Initial shim
88,0.692,0.344,Initial shim
89,0.867,0.274,Initial shim
90,0.919,0.289,Initial shim
91,0.708,0.301,Initial shim
92,0.666,0.160,Initial shim
93,0.512,0.209,Initial shim
94,0.642,0.138,Initial shim
95,0.671,0.300,Initial shim
1,0.463,0.139,New vaccum pad
2,0.543,0.279,New vaccum pad
3,0.659,0.294,New vaccum pad
4,0.865,0.325,New vaccum pad
5,0.472,0.088,New vaccum pad
6,0.088,0.349,New vaccum pad
7,0.579,0.431,New vaccum pad
8,0.536,0.265,New vaccum pad
9,0.503,0.126,New vaccum pad
10,0.572,0.149,New vaccum pad
11,0.970,0.392,New vaccum pad
12,0.815,0.424,New vaccum pad
13,0.734,0.325,New vaccum pad
14,0.000,0.000,New vaccum pad
15,0.499,0.176,New vaccum pad
16,0.676,0.423,New vaccum pad
17,0.779,0.571,New vaccum pad
18,0.416,0.446,New vaccum pad
19,0.801,0.388,New vaccum pad
20,0.843,0.132,New vaccum pad
21,0.621,0.307,New vaccum pad
22,0.000,0.000,New vaccum pad
23,0.827,0.321,New vaccum pad
24,0.308,0.340,New vaccum pad
25,0.668,0.411,New vaccum pad
26,0.888,0.297,New vaccum pad
27,0.750,0.316,New vaccum pad
28,0.340,0.226,New vaccum pad
29,0.451,0.252,New vaccum pad
30,0.000,0.000,New vaccum pad
31,0.518,0.161,New vaccum pad
32,0.604,0.480,New vaccum pad
33,0.797,0.167,New vaccum pad
34,0.720,0.288,New vaccum pad
35,0.588,0.452,New vaccum pad
36,0.645,0.631,New vaccum pad
37,0.776,0.395,New vaccum pad
38,0.647,0.161,New vaccum pad
39,0.098,0.428,New vaccum pad
40,0.146,0.246,New vaccum pad
41,0.000,0.000,New vaccum pad
42,0.261,0.238,New vaccum pad
43,0.523,0.721,New vaccum pad
44,0.181,0.764,New vaccum pad
45,0.000,0.000,New vaccum pad
46,0.764,0.328,New vaccum pad
47,0.531,0.494,New vaccum pad
48,0.436,0.361,New vaccum pad
49,0.198,0.524,New vaccum pad
50,0.474,0.258,New vaccum pad
51,0.765,0.261,New vaccum pad
52,0.717,0.320,New vaccum pad
53,0.192,0.231,New vaccum pad
54,0.243,0.251,New vaccum pad
55,0.473,0.339,New vaccum pad
56,0.274,0.251,New vaccum pad
57,0.477,0.294,New vaccum pad
58,0.562,0.291,New vaccum pad
59,0.718,0.055,New vaccum pad
60,0.520,0.182,New vaccum pad
61,0.354,0.434,New vaccum pad
62,0.306,0.145,New vaccum pad
63,0.786,0.316,New vaccum pad
64,0.868,0.289,New vaccum pad
65,0.787,0.191,New vaccum pad
66,0.241,0.546,New vaccum pad
67,0.431,0.171,New vaccum pad
68,0.292,0.165,New vaccum pad
69,0.000,0.000,New vaccum pad
70,0.570,0.293,New vaccum pad
71,0.698,0.146,New vaccum pad
72,0.297,0.448,New vaccum pad
73,0.000,0.000,New vaccum pad
74,0.752,0.229,New vaccum pad
75,0.502,0.419,New vaccum pad
76,0.499,0.524,New vaccum pad
77,0.487,0.200,New vaccum pad
78,0.228,0.272,New vaccum pad
79,0.897,0.176,New vaccum pad
80,0.308,0.373,New vaccum pad
81,0.843,0.201,New vaccum pad
82,0.566,0.288,New vaccum pad
83,0.508,0.289,New vaccum pad
84,0.521,0.341,New vaccum pad
85,0.250,0.239,New vaccum pad
86,0.384,0.257,New vaccum pad
87,0.707,0.291,New vaccum pad
88,0.890,0.196,New vaccum pad
89,0.260,0.390,New vaccum pad
90,0.305,0.287,New vaccum pad
91,0.671,0.275,New vaccum pad
92,0.133,0.099,New vaccum pad
93,0.479,0.468,New vaccum pad
94,0.138,0.293,New vaccum pad
95,0.390,0.330,New vaccum pad
1,0.000,0.000,Second shim
2,0.789,0.427,Second shim
3,0.723,0.133,Second shim
4,0.546,0.426,Second shim
5,0.811,0.061,Second shim
6,0.613,0.363,Second shim
7,0.829,0.175,Second shim
8,0.646,0.076,Second shim
9,0.852,0.292,Second shim
10,0.961,0.209,Second shim
11,0.772,0.286,Second shim
12,0.949,0.223,Second shim
13,0.762,0.309,Second shim
14,0.838,0.331,Second shim
15,0.768,0.432,Second shim
16,0.883,0.217,Second shim
17,0.952,0.138,Second shim
18,0.694,0.197,Second shim
19,1.045,0.120,Second shim
20,0.791,0.133,Second shim
21,0.818,0.225,Second shim
22,0.671,0.184,Second shim
23,0.781,0.305,Second shim
24,0.663,0.242,Second shim
25,0.947,0.350,Second shim
26,0.910,0.236,Second shim
27,0.852,0.242,Second shim
28,0.772,0.297,Second shim
29,0.239,0.413,Second shim
30,0.331,1.086,Second shim
31,0.717,0.311,Second shim
32,0.789,0.403,Second shim
33,0.695,0.213,Second shim
34,0.762,0.319,Second shim
35,0.883,0.198,Second shim
36,0.771,0.195,Second shim
37,0.617,0.089,Second shim
38,0.747,0.116,Second shim
39,0.797,0.322,Second shim
40,0.790,0.245,Second shim
41,0.885,0.273,Second shim
42,0.752,0.502,Second shim
43,0.778,0.352,Second shim
44,0.738,0.401,Second shim
45,0.839,0.286,Second shim
46,0.843,0.783,Second shim
47,0.000,0.000,Second shim
48,1.027,0.164,Second shim
49,0.694,0.263,Second shim
50,0.797,0.173,Second shim
51,0.778,0.166,Second shim
52,0.600,0.278,Second shim
53,0.603,0.111,Second shim
54,0.828,0.454,Second shim
55,0.798,0.242,Second shim
56,0.809,0.274,Second shim
57,0.976,0.406,Second shim
58,0.268,0.449,Second shim
59,0.380,0.371,Second shim
60,0.880,0.323,Second shim
61,0.671,0.243,Second shim
62,0.623,0.358,Second shim
63,0.680,0.275,Second shim
64,0.715,0.159,Second shim
65,0.774,0.187,Second shim
