,Part #,Target Length,Target Width,Measured Length,Measured Width
158,159,219.0,137.0,218.93,136.92
159,160,219.0,137.0,218.84,136.97
160,161,219.0,137.0,218.92,136.94
161,162,219.0,137.0,219.0,137.0
162,163,219.0,137.0,218.93,136.91
163,164,219.0,137.0,218.97,136.93
164,165,219.0,137.0,218.97,136.93
165,166,219.0,137.0,218.95,136.93
166,167,219.0,137.0,218.96,137.01
167,168,219.0,137.0,219.04,137.02
168,169,219.0,137.0,219.04,137.02
169,170,219.0,137.0,219.0,137.01
170,171,219.0,137.0,219.05,137.06
171,172,219.0,137.0,219.02,137.02
172,173,219.0,137.0,219.08,137.04
173,174,219.0,137.0,219.01,137.07
174,175,219.0,137.0,219.03,137.05
175,176,219.0,137.0,219.0,137.05
176,177,219.0,137.0,219.06,137.06
177,178,219.0,137.0,218.95,137.01
178,179,219.0,137.0,219.06,137.02
179,180,219.0,137.0,219.05,137.01
180,181,219.0,137.0,219.0,137.04
181,182,219.0,137.0,219.02,137.05
182,183,219.0,137.0,219.05,137.06
183,184,219.0,137.0,218.99,137.01
184,185,219.0,137.0,219.03,137.02
185,186,219.0,137.0,219.0,137.08
186,187,219.0,137.0,219.0,137.06
187,188,219.0,137.0,219.02,137.04
188,189,219.0,137.0,219.03,137.07
189,190,219.0,137.0,219.03,137.05
190,191,219.0,137.0,218.99,137.06
191,192,219.0,137.0,219.05,137.05
192,193,219.0,137.0,218.98,137.04
193,194,219.0,137.0,219.05,137.04
194,195,219.0,137.0,219.11,137.07
195,196,219.0,137.0,218.98,137.02
196,197,219.0,137.0,219.04,137.01
197,198,219.0,137.0,219.05,137.0
198,199,219.0,137.0,219.05,137.01
199,200,219.0,137.0,219.08,137.08
